car_name,model,mpg,miles,gallons,price,city_percentage,fuelup_date,date_added,tags,notes,missed_fuelup,partial_fuelup,latitude,longitude,brand
"2006 Honda Accord EX","Honda Accord",22.77,290.2,12.743,2.199,,2016-12-03,2016-12-03 05:35:21,"","",0,0,,,""
"2006 Honda Accord EX","Honda Accord",24.05,299,12.433,2.199,,2016-11-23,2016-11-23 13:25:09,"","",0,0,,,""
"2006 Honda Accord EX","Honda Accord",27.25,340.9,12.509,2.239,,2016-11-13,2016-11-13 20:01:51,"","",0,0,,,""
"2006 Honda Accord EX","Honda Accord",30.9,387.7,12.548,2.329,,2016-11-08,2016-11-08 01:30:26,"","",0,0,,,""
"2006 Honda Accord EX","Honda Accord",26.6,334.8,12.588,2.369,,2016-11-04,2016-11-04 11:18:13,"","",0,0,,,""
"2006 Honda Accord EX","Honda Accord",27.71,354.6,12.797,2.369,50,2016-10-27,2016-10-27 03:01:23,"","",0,0,,,""
"2006 Honda Accord EX","Honda Accord",25.68,294.9,11.485,2.329,,2016-10-21,2016-10-21 01:32:11,"","",0,0,,,""
"2006 Honda Accord EX","Honda Accord",26.37,333.4,12.644,2.329,,2016-10-12,2016-10-12 00:43:59,"","",0,0,,,""
"2006 Honda Accord EX","Honda Accord",28.71,358.6,12.491,2.399,,2016-10-01,2016-10-01 20:36:23,"","",0,0,,,""
"2006 Honda Accord EX","Honda Accord",27.22,344.4,12.652,2.329,,2016-09-26,2016-09-26 23:33:03,"","",0,0,,,""
"2006 Honda Accord EX","Honda Accord",26.45,326.5,12.342,2.159,,2016-09-18,2016-09-18 22:28:56,"","",0,0,,,""
"2006 Honda Accord EX","Honda Accord",30.02,375,12.491,2.249,,2016-09-09,2016-09-09 00:30:26,"","",0,0,,,""
"2006 Honda Accord EX","Honda Accord",34.79,341.2,9.807,2.599,,2016-09-04,2016-09-04 17:08:18,"","",0,0,,,""
"2006 Honda Accord EX","Honda Accord",32.02,359.6,11.232,2.249,,2016-09-03,2016-09-03 22:14:22,"","",0,0,,,""
"2006 Honda Accord EX","Honda Accord",28.79,173.6,6.031,2.369,50,2016-08-31,2016-08-31 21:34:02,"","",0,0,,,""
"2006 Honda Accord EX","Honda Accord",27.2,337.9,12.423,2.269,50,2016-08-30,2016-08-30 01:08:45,"","",0,0,,,""
"2006 Honda Accord EX","Honda Accord",25.21,323.7,12.838,2.069,,2016-08-11,2016-08-11 23:38:49,"","",0,0,,,""
"2006 Honda Accord EX","Honda Accord",25.7,319.8,12.442,2.129,,2016-08-04,2016-08-04 02:31:40,"","",0,0,,,""
"2006 Honda Accord EX","Honda Accord",32.13,401.2,12.488,2.169,,2016-07-26,2016-07-26 17:29:40,"","",0,0,,,""
"2006 Honda Accord EX","Honda Accord",25.29,209.9,8.301,2.168,,2016-07-24,2016-07-24 11:26:49,"","",0,0,,,""
"2006 Honda Accord EX","Honda Accord",25.61,313,12.223,2.209,,2016-07-19,2016-07-19 16:06:38,"","",0,0,,,""
"2006 Honda Accord EX","Honda Accord",24.48,296.3,12.103,2.329,50,2016-07-11,2016-07-11 16:22:54,"","",0,0,,,""
"2006 Honda Accord EX","Honda Accord",25.18,319.9,12.707,2.269,50,2016-07-01,2016-07-01 21:58:56,"","",0,0,,,""
"2006 Honda Accord EX","Honda Accord",25.12,336.1,13.381,2.369,50,2016-06-24,2016-06-24 16:14:52,"","",0,0,,,""
"2006 Honda Accord EX","Honda Accord",26.23,318.9,12.156,2.369,50,2016-06-16,2016-06-16 21:23:22,"","",0,0,,,""
"2006 Honda Accord EX","Honda Accord",25.78,322,12.49,2.369,50,2016-06-09,2016-06-09 01:03:22,"","",0,0,,,""
"2006 Honda Accord EX","Honda Accord",27.24,347.7,12.763,2.369,50,2016-06-02,2016-06-02 12:51:57,"","",0,0,,,""
"2006 Honda Accord EX","Honda Accord",26.44,325.2,12.3,2.369,50,2016-05-28,2016-05-28 11:53:32,"","",0,0,,,""
"2006 Honda Accord EX","Honda Accord",31.46,342.8,10.896,2.349,50,2016-05-22,2016-05-22 01:27:35,"","",0,0,,,""
"2006 Honda Accord EX","Honda Accord",22.77,162.4,7.133,2.309,50,2016-05-20,2016-05-20 22:40:20,"","",0,0,,,""
"2006 Honda Accord EX","Honda Accord",26.5,324.7,12.254,2.309,50,2016-05-15,2016-05-15 22:58:35,"","",0,0,,,""
"2006 Honda Accord EX","Honda Accord",25.84,311.1,12.038,2.369,50,2016-05-07,2016-05-07 12:48:10,"","",0,0,,,""
"2006 Honda Accord EX","Honda Accord",25.59,332.6,12.995,2.329,50,2016-04-29,2016-04-29 13:37:55,"","",0,0,,,""
"2006 Honda Accord EX","Honda Accord",24.04,306.3,12.74,2.269,50,2016-04-21,2016-04-21 00:49:24,"","",0,0,,,""
"2006 Honda Accord EX","Honda Accord",23.1,286.1,12.383,2.129,50,2016-04-10,2016-04-10 23:15:41,"","",0,0,,,""
"2006 Honda Accord EX","Honda Accord",26.54,337.6,12.719,2.129,50,2016-04-03,2016-04-03 17:31:19,"","",0,0,,,""
"2006 Honda Accord EX","Honda Accord",26.03,318.2,12.225,2.069,50,2016-03-27,2016-03-27 20:57:02,"","",0,0,,,""
"2006 Honda Accord EX","Honda Accord",24.49,304.7,12.442,1.969,50,2016-03-22,2016-03-22 12:41:32,"","",0,0,,,""
"2006 Honda Accord EX","Honda Accord",24.92,294.3,11.808,1.929,50,2016-03-13,2016-03-13 23:23:37,"","",0,0,,,""
"2006 Honda Accord EX","Honda Accord",23.06,257.3,11.159,1.869,50,2016-03-06,2016-03-06 20:50:35,"","",0,0,,,""
"2006 Honda Accord EX","Honda Accord",23.33,262,11.229,1.869,50,2016-02-29,2016-02-29 01:50:49,"","",0,0,,,""
"2006 Honda Accord EX","Honda Accord",27.3,340.6,12.477,1.829,50,2016-02-21,2016-02-21 19:30:54,"","",0,0,,,""
"2006 Honda Accord EX","Honda Accord",27.85,319.2,11.46,1.869,50,2016-02-15,2016-02-15 21:05:56,"","",0,0,,,""
"2006 Honda Accord EX","Honda Accord",22.94,276.6,12.06,1.869,50,2016-02-13,2016-02-13 01:17:37,"","",0,0,,,""
"2006 Honda Accord EX","Honda Accord",22.91,294.3,12.847,1.909,50,2016-02-04,2016-02-04 13:24:19,"","",0,0,,,""
"2006 Honda Accord EX","Honda Accord",22.18,286.3,12.91,1.979,50,2016-01-22,2016-01-22 03:51:28,"","",0,0,,,""
"2006 Honda Accord EX","Honda Accord",23.29,293.5,12.6,2.009,50,2016-01-15,2016-01-15 03:34:57,"","",0,0,,,""
"2006 Honda Accord EX","Honda Accord",22.19,274.3,12.361,2.029,50,2016-01-08,2016-01-08 02:57:11,"","",0,0,,,""
"2006 Honda Accord EX","Honda Accord",24.01,304.3,12.673,2.069,,2016-01-01,2016-01-01 21:18:27,"","",0,0,,,""
"2006 Honda Accord EX","Honda Accord",24.59,314.9,12.805,2.069,,2015-12-26,2015-12-26 14:22:16,"","",0,0,,,""
"2006 Honda Accord EX","Honda Accord",24.38,317.7,13.034,2.069,50,2015-12-19,2015-12-19 15:21:47,"","",0,0,,,""
"2006 Honda Accord EX","Honda Accord",22.95,289.8,12.625,2.159,50,2015-12-12,2015-12-12 00:25:43,"","",0,0,,,""
"2006 Honda Accord EX","Honda Accord",23.33,292.1,12.523,2.199,50,2015-12-05,2015-12-05 01:07:14,"","",0,0,,,""
"2006 Honda Accord EX","Honda Accord",27.66,341,12.327,2.169,50,2015-11-27,2015-11-27 14:55:20,"","",0,0,,,""
"2006 Honda Accord EX","Honda Accord",32.78,329.3,10.045,2.229,50,2015-11-22,2015-11-22 16:45:53,"","",0,0,,,""
"2006 Honda Accord EX","Honda Accord",30.12,347.1,11.526,2.169,50,2015-11-20,2015-11-20 18:07:02,"","",0,0,,,""
"2006 Honda Accord EX","Honda Accord",24.44,283.5,11.599,2.229,50,2015-11-18,2015-11-18 17:16:14,"","",0,0,,,""
"2006 Honda Accord EX","Honda Accord",27.09,335.4,12.382,2.229,50,2015-11-11,2015-11-11 13:32:55,"","",0,0,,,""
"2006 Honda Accord EX","Honda Accord",26.46,341.7,12.916,2.169,50,2015-11-05,2015-11-05 13:31:41,"","",0,0,,,""
"2006 Honda Accord EX","Honda Accord",25.2,317.6,12.601,2.169,,2015-10-30,2015-10-30 02:56:48,"","",0,0,,,""
"2006 Honda Accord EX","Honda Accord",24.64,304.6,12.363,2.229,50,2015-10-24,2015-10-24 12:22:19,"","",0,0,,,""
"2006 Honda Accord EX","Honda Accord",24.54,301.8,12.301,2.229,50,2015-10-18,2015-10-18 14:38:44,"","",0,0,,,""
"2006 Honda Accord EX","Honda Accord",24.23,297.8,12.289,2.169,50,2015-10-11,2015-10-11 16:38:38,"","",0,0,,,""
"2006 Honda Accord EX","Honda Accord",26.51,322.6,12.167,2.129,50,2015-10-05,2015-10-05 21:50:56,"","",0,0,,,""
"2006 Honda Accord EX","Honda Accord",25.2,327.2,12.983,2.169,,2015-10-01,2015-10-01 20:36:20,"","",0,0,,,""
"2006 Honda Accord EX","Honda Accord",25.89,324.7,12.543,2.169,50,2015-09-24,2015-09-24 00:57:57,"","",0,0,,,""
"2006 Honda Accord EX","Honda Accord",25.45,317.1,12.462,2.229,50,2015-09-18,2015-09-18 00:26:01,"","",0,0,,,""
"2006 Honda Accord EX","Honda Accord",31.99,390,12.191,2.269,50,2015-09-10,2015-09-10 12:38:09,"","",0,0,,,""
"2006 Honda Accord EX","Honda Accord",30.23,358,11.844,2.299,50,2015-09-07,2015-09-07 18:36:02,"","",0,0,,,""
"2006 Honda Accord EX","Honda Accord",25.73,275.2,10.696,2.329,50,2015-09-04,2015-09-04 15:12:41,"","",0,0,,,""
"2006 Honda Accord EX","Honda Accord",24.51,313.3,12.782,2.369,50,2015-08-30,2015-08-30 03:22:17,"","",0,0,,,""
"2006 Honda Accord EX","Honda Accord",23.1,288.9,12.508,2.429,50,2015-08-22,2015-08-22 21:13:19,"","",0,0,,,""
"2006 Honda Accord EX","Honda Accord",24.73,314.2,12.708,2.449,50,2015-08-14,2015-08-14 17:35:28,"","",0,0,,,""
"2006 Honda Accord EX","Honda Accord",26.09,321.6,12.326,2.529,50,2015-08-07,2015-08-07 12:28:32,"","",0,0,,,""
"2006 Honda Accord EX","Honda Accord",29.53,365.1,12.363,2.669,55,2015-07-31,2015-07-31 16:51:06,"","",0,0,,,""
"2006 Honda Accord EX","Honda Accord",27.07,337.8,12.481,2.629,50,2015-07-26,2015-07-26 21:56:51,"","",0,0,,,""
"2006 Honda Accord EX","Honda Accord",24.46,292.2,11.947,2.649,50,2015-07-21,2015-07-21 19:13:51,"","",0,0,,,""
"2006 Honda Accord EX","Honda Accord",26.26,318,12.11,2.7,50,2015-07-15,2015-07-15 13:23:17,"","",0,0,,,""
"2006 Honda Accord EX","Honda Accord",28.27,359.1,12.701,2.811,,2015-07-09,2015-07-09 02:35:05,"","",0,0,,,""
"2006 Honda Accord EX","Honda Accord",27.8,344.1,12.378,2.699,50,2015-07-03,2015-07-03 21:12:39,"","",0,0,,,""
"2006 Honda Accord EX","Honda Accord",29.16,350,12.003,2.729,,2015-06-28,2015-06-28 05:53:48,"","",0,0,,,""
"2006 Honda Accord EX","Honda Accord",28.02,333.8,11.914,2.799,50,2015-06-23,2015-06-23 01:21:36,"","",0,0,,,""
"2006 Honda Accord EX","Honda Accord",27.35,333.9,12.209,2.829,50,2015-06-17,2015-06-17 21:02:51,"","",0,0,,,""
